sub,month_x,total5,interrupt5,proportion5,duration5,month_y,total10,interrupt10,proportion10,duration10,proportion_difference_score,duration_difference_score
4,5,34,10,0.29411764705882354,3.440639200000007,10,205,8,0.03902439024390244,1.0799632500000094,-0.2550932568149211,-2.3606759499999974
6,5,12,5,0.4166666666666667,1.3978037999999742,10,183,37,0.20218579234972678,5.872319756756785,-0.2144808743169399,4.474515956756811
10,5,35,5,0.14285714285714285,1.5203971999999795,10,84,3,0.03571428571428571,1.51684700000006,-0.10714285714285714,-0.0035501999999194567
11,5,26,8,0.3076923076923077,2.319058874999996,10,126,21,0.16666666666666666,1.4051236666666438,-0.14102564102564105,-0.9139352083333523
27,5,49,5,0.10204081632653061,1.157394800000003,10,63,28,0.4444444444444444,2.9134057857142586,0.3424036281179138,1.7560109857142556
28,5,8,1,0.125,1.6095330000000558,10,147,10,0.06802721088435375,1.6273615000000063,-0.05697278911564625,0.01782849999995051
43,5,29,5,0.1724137931034483,1.1747994000000006,10,75,18,0.24,5.3854961666667,0.0675862068965517,4.2106967666666995
47,5,11,4,0.36363636363636365,4.671077249999996,10,119,35,0.29411764705882354,4.846493028571435,-0.06951871657754011,0.17541577857143853
48,5,6,3,0.5,8.626593000000033,10,97,33,0.3402061855670103,6.3116797272727325,-0.15979381443298968,-2.314913272727301
53,5,24,8,0.3333333333333333,4.805336750000006,10,90,23,0.25555555555555554,1.3127784782608585,-0.07777777777777778,-3.4925582717391475
59,5,24,5,0.20833333333333334,0.6542779999999766,10,90,16,0.17777777777777778,1.9105477499999814,-0.030555555555555558,1.2562697500000048
64,5,29,3,0.10344827586206896,1.3383350000000291,10,98,10,0.10204081632653061,3.077163800000039,-0.0014074595355383496,1.73882880000001
71,5,120,62,0.5166666666666667,3.0865560806451637,10,199,56,0.2814070351758794,2.307615821428564,-0.23525963149078732,-0.7789402592165997
72,5,17,3,0.17647058823529413,0.9772423333333791,10,97,3,0.030927835051546393,0.8428683333333803,-0.14554275318374774,-0.13437399999999877
74,5,20,1,0.05,4.083303999999998,10,97,11,0.1134020618556701,0.5733720909091123,0.0634020618556701,-3.509931909090886
75,5,23,10,0.43478260869565216,3.8676223999999935,10,30,6,0.2,2.797877333333304,-0.23478260869565215,-1.0697450666666897
76,5,16,0,0.0,,10,42,3,0.07142857142857142,2.06661633333321,0.07142857142857142,
85,5,12,1,0.08333333333333333,7.4416319999999985,10,80,8,0.1,5.871844249999924,0.016666666666666677,-1.5697877500000743
87,5,113,35,0.30973451327433627,3.691201857142843,10,44,5,0.11363636363636363,2.588303199999996,-0.19609814963797262,-1.102898657142847
91,5,34,8,0.23529411764705882,4.37802987500001,10,47,0,0.0,,-0.23529411764705882,
94,5,43,4,0.09302325581395349,3.1562065000000175,10,62,4,0.06451612903225806,1.754875999999939,-0.028507126781695424,-1.4013305000000784
96,5,45,20,0.4444444444444444,8.054740699999982,10,77,5,0.06493506493506493,0.37961479999999026,-0.37950937950937946,-7.675125899999992
97,5,11,3,0.2727272727272727,1.8877803333333247,10,25,1,0.04,2.1757450000000063,-0.2327272727272727,0.2879646666666815
99,5,57,15,0.2631578947368421,1.3892053999999823,10,57,22,0.38596491228070173,5.724479863636372,0.12280701754385964,4.33527446363639
101,5,76,30,0.39473684210526316,3.3130593666666766,10,55,7,0.12727272727272726,1.2342710000000028,-0.2674641148325359,-2.0787883666666738
105,5,38,7,0.18421052631578946,2.5922167142856987,10,75,14,0.18666666666666668,1.8068125714285574,0.0024561403508772117,-0.7854041428571412
106,5,50,21,0.42,6.710877523809516,10,173,27,0.15606936416184972,2.0388597037036957,-0.26393063583815024,-4.67201782010582
113,5,74,20,0.2702702702702703,1.7665641499999911,10,80,29,0.3625,8.353667931034504,0.0922297297297297,6.587103781034513
115,5,19,7,0.3684210526315789,4.530873714285723,10,34,11,0.3235294117647059,2.2308390000000005,-0.04489164086687303,-2.3000347142857223
118,5,108,35,0.32407407407407407,3.441090714285715,10,27,5,0.18518518518518517,2.7520266000000446,-0.1388888888888889,-0.6890641142856704
